[Fri Oct 03 08:49:21.011374 2025] [php:error] [pid 8540:tid 1992] [client 172.16.36.181:55416] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 08:49:57.527815 2025] [php:error] [pid 8540:tid 1976] [client 172.16.36.181:56400] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 09:54:25.759390 2025] [php:error] [pid 8540:tid 1960] [client 172.16.36.181:55743] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 10:48:15.616872 2025] [php:error] [pid 8540:tid 1988] [client 172.16.36.181:56969] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 10:48:15.616872 2025] [php:error] [pid 8540:tid 1996] [client 172.16.36.181:56979] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 10:50:19.977827 2025] [php:error] [pid 8540:tid 1988] [client 172.16.36.181:57034] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 10:50:22.373544 2025] [php:error] [pid 8540:tid 1972] [client 172.16.36.181:57040] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 10:50:22.373544 2025] [php:error] [pid 8540:tid 1976] [client 172.16.36.181:57039] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 10:56:54.102763 2025] [php:error] [pid 8540:tid 1960] [client 172.16.36.181:64802] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Oct 03 13:41:21.364020 2025] [php:warn] [pid 8540:tid 1960] [client 127.0.0.1:57231] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
[Fri Oct 03 13:42:21.720927 2025] [php:warn] [pid 8540:tid 1960] [client 127.0.0.1:57274] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
[Fri Oct 03 23:01:03.958385 2025] [php:error] [pid 8540:tid 1980] [client 127.0.0.1:49966] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 01:30:56.977731 2025] [php:error] [pid 8540:tid 1996] [client 127.0.0.1:62406] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 02:50:33.168183 2025] [php:error] [pid 8540:tid 1996] [client 127.0.0.1:61281] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:10:33.842177 2025] [php:error] [pid 8540:tid 1968] [client 127.0.0.1:60412] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:10:48.977377 2025] [php:error] [pid 8540:tid 1972] [client 127.0.0.1:60463] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:11:03.965856 2025] [php:error] [pid 8540:tid 1980] [client 127.0.0.1:60524] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:11:28.052017 2025] [php:error] [pid 8540:tid 1960] [client 127.0.0.1:60575] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:11:43.217327 2025] [php:error] [pid 8540:tid 1976] [client 127.0.0.1:60621] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:12:10.207994 2025] [php:error] [pid 8540:tid 1968] [client 127.0.0.1:60697] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:12:26.504344 2025] [php:error] [pid 8540:tid 1980] [client 127.0.0.1:60759] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 04:50:31.297525 2025] [php:error] [pid 8540:tid 1960] [client 127.0.0.1:52234] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 05:01:11.387407 2025] [php:error] [pid 8540:tid 1980] [client 127.0.0.1:54707] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Sat Oct 04 05:01:29.667644 2025] [php:error] [pid 8540:tid 1972] [client 127.0.0.1:54774] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
