[Thu Sep 18 14:08:08.765565 2025] [php:error] [pid 9056:tid 1976] [client 172.16.36.181:50145] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Sep 18 14:16:33.819809 2025] [php:error] [pid 9056:tid 1996] [client 172.16.36.181:50203] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 01:54:48.038315 2025] [php:error] [pid 9056:tid 1984] [client 127.0.0.1:54238] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 01:55:07.169923 2025] [php:error] [pid 9056:tid 1980] [client 127.0.0.1:54308] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:15:30.423340 2025] [php:error] [pid 9056:tid 1996] [client 127.0.0.1:58232] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:15:30.423340 2025] [php:error] [pid 9056:tid 1992] [client 127.0.0.1:58182] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:15:30.438923 2025] [php:error] [pid 9056:tid 1980] [client 127.0.0.1:58286] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 02:24:44.251768 2025] [php:error] [pid 9056:tid 1972] [client 127.0.0.1:60027] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:24:58.272600 2025] [php:error] [pid 9056:tid 1968] [client 127.0.0.1:60090] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 02:25:20.360101 2025] [php:error] [pid 9056:tid 1984] [client 127.0.0.1:60164] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:25:38.673934 2025] [php:error] [pid 9056:tid 1992] [client 127.0.0.1:60217] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 02:26:03.262043 2025] [php:error] [pid 9056:tid 1972] [client 127.0.0.1:60283] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:26:22.512667 2025] [php:error] [pid 9056:tid 1996] [client 127.0.0.1:60354] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 02:26:47.881322 2025] [php:error] [pid 9056:tid 1980] [client 127.0.0.1:60440] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 02:27:11.670449 2025] [php:error] [pid 9056:tid 1992] [client 127.0.0.1:60500] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 06:46:14.286284 2025] [php:warn] [pid 9056:tid 1980] [client 127.0.0.1:62503] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
[Fri Sep 19 06:54:55.998325 2025] [php:error] [pid 9056:tid 1972] [client 127.0.0.1:63941] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 06:55:14.051123 2025] [php:error] [pid 9056:tid 1980] [client 127.0.0.1:64014] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 06:56:46.134391 2025] [php:error] [pid 9056:tid 1972] [client 127.0.0.1:64277] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 06:57:07.171552 2025] [php:error] [pid 9056:tid 1992] [client 127.0.0.1:64350] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 06:57:31.246172 2025] [php:error] [pid 9056:tid 1988] [client 127.0.0.1:64422] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Fri Sep 19 07:14:47.211977 2025] [php:error] [pid 9056:tid 1992] [client 127.0.0.1:51366] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 07:14:59.228631 2025] [php:error] [pid 9056:tid 1972] [client 127.0.0.1:51431] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Fri Sep 19 07:38:58.581809 2025] [php:error] [pid 9056:tid 1992] [client 172.16.36.181:61316] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:38:58.597434 2025] [php:error] [pid 9056:tid 1984] [client 172.16.36.181:61323] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:39:50.153000 2025] [php:error] [pid 9056:tid 1984] [client 172.16.36.181:61594] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 3, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:39:50.153000 2025] [php:error] [pid 9056:tid 1968] [client 172.16.36.181:61530] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:39:53.219955 2025] [php:error] [pid 9056:tid 1992] [client 172.16.36.181:61595] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:39:59.190515 2025] [php:error] [pid 9056:tid 1996] [client 172.16.36.181:61597] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:40:08.217108 2025] [php:error] [pid 9056:tid 1988] [client 172.16.36.181:61596] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:40:08.218614 2025] [php:error] [pid 9056:tid 1960] [client 172.16.36.181:61606] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 3, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:40:08.218614 2025] [php:error] [pid 9056:tid 1964] [client 172.16.36.181:61607] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 3, referer: http://192.168.60.79/manager-page/home-1.php
[Fri Sep 19 07:40:14.234172 2025] [php:error] [pid 9056:tid 1980] [client 172.16.36.181:61603] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
