[Thu Jul 24 08:01:05.797284 2025] [php:error] [pid 8656:tid 1996] [client 172.16.36.181:58594] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:31:58.205240 2025] [php:error] [pid 8656:tid 1560] [client 172.16.36.181:61178] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:32:55.623200 2025] [php:error] [pid 8656:tid 1996] [client 172.16.36.181:61236] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:32:58.574216 2025] [php:error] [pid 8656:tid 1560] [client 172.16.36.181:61235] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:36:51.890099 2025] [php:error] [pid 8656:tid 2004] [client 172.16.36.181:62340] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:39:38.425070 2025] [php:error] [pid 8656:tid 1592] [client 172.16.36.181:63407] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:45:02.119014 2025] [php:error] [pid 8656:tid 1564] [client 172.16.36.181:64895] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:45:59.110233 2025] [php:error] [pid 8656:tid 1836] [client 172.16.36.181:64994] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:46:56.553406 2025] [php:error] [pid 8656:tid 1560] [client 172.16.36.181:65030] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:47:02.359450 2025] [php:error] [pid 8656:tid 1564] [client 172.16.36.181:65031] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:48:02.592083 2025] [php:error] [pid 8656:tid 1560] [client 172.16.36.181:65103] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:51:54.485586 2025] [php:error] [pid 8656:tid 1996] [client 172.16.36.181:65270] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:52:49.383230 2025] [php:error] [pid 8656:tid 2004] [client 172.16.36.181:65293] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:53:45.836772 2025] [php:error] [pid 8656:tid 2004] [client 172.16.36.181:65336] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 08:54:49.020233 2025] [php:error] [pid 8656:tid 1996] [client 172.16.36.181:65358] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 10:11:29.192747 2025] [php:error] [pid 8748:tid 2036] [client 172.16.36.181:52185] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Thu Jul 24 10:51:00.628895 2025] [php:warn] [pid 8748:tid 2036] [client 127.0.0.1:56313] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
