[Tue Sep 09 08:33:35.409028 2025] [php:error] [pid 8960:tid 1964] [client 172.16.36.181:54988] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\public_html\\manager-page\\api\\snapshot.php on line 61, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Sep 09 08:33:35.409028 2025] [php:error] [pid 8960:tid 2008] [client 172.16.36.181:54989] PHP Fatal error:  Maximum execution time of 5 seconds exceeded in C:\\xampp\\htdocs\\default\\session.php on line 5, referer: http://192.168.60.79/manager-page/home-1.php
[Tue Sep 09 12:01:01.928441 2025] [php:warn] [pid 8960:tid 1980] [client 127.0.0.1:56552] PHP Warning:  Trying to access array offset on value of type null in C:\\xampp\\htdocs\\default\\public_html\\robot\\alarm-history-in.php on line 114
[Wed Sep 10 03:42:23.368310 2025] [php:error] [pid 8960:tid 1960] [client 127.0.0.1:58208] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Sep 10 03:42:35.910854 2025] [php:error] [pid 8960:tid 1980] [client 127.0.0.1:58270] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Sep 10 03:42:51.731166 2025] [php:error] [pid 8960:tid 1968] [client 127.0.0.1:58341] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Sep 10 03:43:14.399445 2025] [php:error] [pid 8960:tid 1972] [client 127.0.0.1:58399] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Sep 10 03:43:29.447937 2025] [php:error] [pid 8960:tid 2008] [client 127.0.0.1:58452] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 4
[Wed Sep 10 04:53:50.806751 2025] [php:error] [pid 8960:tid 1968] [client 127.0.0.1:55977] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
[Wed Sep 10 07:03:33.832451 2025] [php:error] [pid 8960:tid 1976] [client 127.0.0.1:65371] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\\xampp\\htdocs\\default\\ConnMySQL.php on line 8
